_id,date,center_name,attendance_count
53934128,2026-01-22,Arlington Community Center,20
53934129,2026-01-22,Jefferson Community Center,14
53934130,2026-01-22,Magee Community Center,30
53934131,2026-01-22,Ormsby Community Center,14
53934132,2026-01-22,Warrington Community Center,90
53934133,2026-01-21,Phillips Community Center,237
53934134,2026-01-21,Paulson Community Center,21
53934135,2026-01-21,West Penn Community Center,69
53934136,2026-01-21,Ammon Community Center,15
53934137,2026-01-21,Arlington Community Center,13
53934138,2026-01-21,Brookline Community Center,30
53934139,2026-01-21,Magee Community Center,41
53934140,2026-01-21,Jefferson Community Center,54
53934141,2026-01-21,Ormsby Community Center,14
53934142,2026-01-21,Warrington Community Center,57
53934143,2026-01-20,Paulson Community Center,5
53934144,2026-01-20,Phillips Community Center,64
53934145,2026-01-20,West Penn Community Center,161
53934146,2026-01-20,Brookline Community Center,59
53934147,2026-01-20,Arlington Community Center,22
53934148,2026-01-20,Magee Community Center,39
53934149,2026-01-20,Ormsby Community Center,13
53934150,2026-01-20,Warrington Community Center,70
53934151,2026-01-17,West Penn Community Center,148
53934152,2026-01-17,Magee Community Center,12
53934153,2026-01-16,Phillips Community Center,28
53934154,2026-01-16,Paulson Community Center,14
53934155,2026-01-16,West Penn Community Center,76
53934156,2026-01-16,Ammon Community Center,5
53934157,2026-01-16,Arlington Community Center,18
53934158,2026-01-16,Brookline Community Center,23
53934159,2026-01-16,Magee Community Center,65
53934160,2026-01-16,Jefferson Community Center,43
53934161,2026-01-16,Ormsby Community Center,9
53934162,2026-01-16,Warrington Community Center,53
53934163,2026-01-15,Paulson Community Center,12
53934164,2026-01-15,Phillips Community Center,34
53934165,2026-01-15,West Penn Community Center,102
53934166,2026-01-15,Ammon Community Center,18
53934167,2026-01-15,Brookline Community Center,42
53934168,2026-01-15,Arlington Community Center,19
53934169,2026-01-15,Jefferson Community Center,47
53934170,2026-01-15,Magee Community Center,32
53934171,2026-01-15,Ormsby Community Center,9
53934172,2026-01-15,Warrington Community Center,57
53934173,2026-01-14,Phillips Community Center,193
53934174,2026-01-14,Paulson Community Center,12
53934175,2026-01-14,West Penn Community Center,154
53934176,2026-01-14,Arlington Community Center,16
53934177,2026-01-14,Brookline Community Center,23
53934178,2026-01-14,Magee Community Center,47
53934179,2026-01-14,Jefferson Community Center,52
53934180,2026-01-14,Ormsby Community Center,8
53934181,2026-01-14,Warrington Community Center,42
53934182,2026-01-13,Paulson Community Center,16
53934183,2026-01-13,Phillips Community Center,42
53934184,2026-01-13,West Penn Community Center,170
53934185,2026-01-13,Ammon Community Center,25
53934186,2026-01-13,Brookline Community Center,38
53934187,2026-01-13,Arlington Community Center,17
53934188,2026-01-13,Jefferson Community Center,33
53934189,2026-01-13,Magee Community Center,28
53934190,2026-01-13,Ormsby Community Center,17
53934191,2026-01-13,Warrington Community Center,25
53934192,2026-01-12,Phillips Community Center,58
53934193,2026-01-12,Paulson Community Center,19
53934194,2026-01-12,West Penn Community Center,124
53934195,2026-01-12,Arlington Community Center,33
53934196,2026-01-12,Brookline Community Center,34
53934197,2026-01-12,Magee Community Center,43
53934198,2026-01-12,Jefferson Community Center,47
53934199,2026-01-12,Ormsby Community Center,23
53934200,2026-01-12,Warrington Community Center,61
53934201,2026-01-10,Phillips Community Center,14
53934202,2026-01-10,West Penn Community Center,66
53934203,2026-01-10,Brookline Community Center,8
53934204,2026-01-10,Arlington Community Center,3
53934205,2026-01-10,Magee Community Center,7
53934206,2026-01-10,Ormsby Community Center,14
53934207,2026-01-10,Warrington Community Center,5
53934208,2026-01-09,Phillips Community Center,20
53934209,2026-01-09,Paulson Community Center,18
53934210,2026-01-09,West Penn Community Center,65
53934211,2026-01-09,Ammon Community Center,11
53934212,2026-01-09,Arlington Community Center,25
53934213,2026-01-09,Brookline Community Center,24
